market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month,day,market_cleaned,distance_from_center,market_encoded,cluster,category_encoded,commodity_encoded,quantity,unit_type,standardized_unit,standardized_price,pricetype_encoded
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,856.8,17.4915,1999,7,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.568,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1185,23.9394,1999,8,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.85,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,877.5,17.7273,1999,8,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.775,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1181.8,23.8747,1999,9,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.818,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,893.4,18.0485,1999,9,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.934,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1173.75,23.7121,1999,10,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.7375,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,912.25,18.4293,1999,10,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.1225,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1139.25,22.6716,1999,11,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.3925,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,913,18.1692,1999,11,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.13,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1109.75,21.7598,1999,12,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.0975,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,935,18.3333,1999,12,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.35,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1138.8,22.3294,2000,1,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.388,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,950,18.6275,2000,1,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.5,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1194.25,23.4167,2000,2,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.9425,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,975,19.1176,2000,2,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.75,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1244.5,24.402,2000,3,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.445,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,978.75,19.1912,2000,3,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.7875,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1208,23.6863,2000,4,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,12.08,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,941.8,18.4667,2000,4,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.418,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1171,22.9608,2000,5,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.71,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,945,18.5294,2000,5,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.45,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1190,23.3333,2000,6,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.9,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,963.75,18.8971,2000,6,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.6375,1
